cliente;prodotto;giorno;quantity
C001352;M000240;24/11/2023;9963,16
C000649;M000190;20/10/2024;6164,71
C000506;M000390;05/12/2023;7362,25
C001048;M000272;17/11/2024;5992,34
C001055;M000316;18/12/2024;8634,77
C000312;M000257;14/12/2023;2294,79
C000850;M000490;16/12/2023;4681,15
C000763;M000204;08/10/2023;7076,47
C000856;M000096;04/10/2024;3886,18
C000264;M000109;05/10/2024;4436,33
C000921;M000491;12/11/2023;8245,15
C000279;M000289;25/11/2023;5394,68
C000945;M000349;16/10/2024;9197,13
C000160;M000497;24/12/2024;7910,83
C001646;M000383;31/10/2023;1239,58
C001994;M000479;11/12/2023;8249,74
C000611;M000081;27/12/2023;2737,22
C001448;M000102;05/10/2023;3539,62
C001234;M000098;11/12/2024;6469,75
C001381;M000498;30/10/2024;3408,12
C001245;M000315;11/10/2023;2978,23
C000248;M000308;28/10/2023;1413,63
C000250;M000464;02/11/2023;9731,19
C000703;M000363;14/10/2023;9000,27
C001580;M000416;05/11/2023;5699,25
C000950;M000063;19/12/2023;8864,05
C001435;M000378;02/11/2024;5433,56
C000484;M000220;31/12/2024;8516,58
C000713;M000286;08/12/2024;6970,6
C001987;M000487;19/11/2024;7741,45
C000348;M000195;11/10/2024;4330,0
C000334;M000462;09/11/2023;8325,77
C000395;M000367;29/11/2023;9527,58
C001538;M000415;04/11/2023;8172,67
C001824;M000108;24/12/2024;1823,97
C001810;M000374;12/10/2023;8690,78
C000402;M000008;19/12/2023;9303,62
C001395;M000291;16/10/2023;7553,74
C000338;M000082;14/11/2023;9541,88
C000180;M000407;16/10/2024;4163,3
C000767;M000396;19/10/2024;9482,02
C001081;M000424;19/10/2024;2449,69
C001513;M000310;30/12/2023;9092,86
C000890;M000335;09/12/2024;3011,4
C000222;M000368;30/12/2024;5589,48
C001629;M000307;04/11/2023;6716,09
C001151;M000197;15/10/2023;2929,63
C000817;M000437;28/12/2023;725,83
C001326;M000266;28/11/2023;6392,56
C001170;M000299;15/11/2023;6190,95
C001585;M000179;19/12/2023;9674,48
C000224;M000483;26/10/2024;3296,18
C001752;M000496;29/10/2024;9195,67
C000772;M000202;11/12/2024;8950,82
C000411;M000169;27/12/2024;8326,45
C001409;M000339;04/10/2023;1251,18
C001263;M000253;04/11/2023;4359,79
C001976;M000021;09/11/2024;1782,98
C001217;M000090;22/10/2024;940,73
C000673;M000089;17/11/2024;6283,4
C000105;M000021;18/10/2023;3823,1
C000750;M000033;18/10/2024;964,67
C001296;M000245;09/10/2023;7344,58
C000832;M000301;12/12/2024;7746,37
C001136;M000098;09/12/2023;2467,6
C001421;M000358;10/10/2023;8530,54
C000423;M000149;12/11/2024;4554,08
C000916;M000162;22/11/2023;3565,79
C000187;M000255;28/10/2024;5993,0
C001379;M000322;10/11/2023;5300,15
C001607;M000129;24/10/2024;6422,05
C001797;M000363;08/12/2023;7963,92
C001374;M000066;30/12/2024;6258,0
C001588;M000341;05/11/2023;416,49
C001119;M000327;02/11/2023;6056,81
C000818;M000238;21/12/2023;4564,34
C001875;M000377;21/12/2024;2933,19
C001823;M000055;02/12/2024;1075,39
C001289;M000122;08/10/2024;4809,34
C001542;M000268;27/11/2023;3254,67
C001523;M000017;18/12/2023;2000,67
C001594;M000209;04/10/2024;5536,5
C001981;M000194;24/11/2024;7746,46
C001249;M000088;07/12/2024;6322,8
C001213;M000229;05/12/2023;2760,73
C000856;M000148;16/12/2023;8579,31
C001055;M000167;18/12/2023;4918,42
C001170;M000119;25/11/2024;6178,8
C000825;M000030;14/11/2023;2761,0
C001958;M000430;17/10/2024;4546,71
C000036;M000004;01/11/2023;4584,86
C000188;M000485;10/11/2024;7065,97
C001075;M000355;12/11/2024;3752,44
C001456;M000452;24/12/2023;6037,42
C001834;M000455;15/11/2023;5026,38
C000414;M000156;21/12/2023;5676,29
C001624;M000199;03/11/2023;2960,69
C001631;M000235;01/10/2024;2397,59
C000538;M000258;16/12/2023;4435,33
C001271;M000034;06/12/2023;2403,68
C000092;M000225;15/12/2024;8439,61
C000040;M000022;19/12/2024;8502,73
C000445;M000241;06/10/2024;2369,78
C001084;M000499;15/12/2023;5943,02
C001590;M000283;12/10/2023;8728,32
C001262;M000326;09/12/2024;1427,31
C001275;M000140;14/10/2023;1939,58
C000555;M000486;31/12/2023;8190,05
C000549;M000115;04/10/2023;2342,52
C000984;M000107;10/11/2024;4515,12
C000357;M000141;25/12/2023;1783,3
C001524;M000202;28/10/2023;6231,23
C001076;M000235;18/12/2023;2919,58
C001097;M000438;10/10/2024;5055,41
C001797;M000010;22/10/2023;4753,8
C000941;M000350;14/11/2023;2812,61
C001976;M000040;18/11/2024;145,57
C001802;M000280;01/10/2024;6401,24
C001941;M000434;13/11/2023;9127,71
C001299;M000138;29/10/2023;9548,16
C001157;M000347;08/10/2023;1907,63
C001132;M000340;05/11/2023;8876,02
C000433;M000161;29/10/2023;8588,11
C000677;M000447;27/10/2023;1975,08
C000889;M000292;23/11/2024;3877,57
C000776;M000099;21/10/2023;1390,34
C001468;M000089;02/11/2024;2087,12
C000710;M000067;09/10/2023;8179,3
C000866;M000321;30/12/2023;5153,45
C000839;M000314;16/11/2024;4528,59
C001166;M000124;26/11/2024;478,04
C001851;M000245;12/12/2024;6991,55
C001561;M000483;21/12/2023;8510,97
C000307;M000191;15/12/2024;9516,88
C001469;M000146;24/11/2023;6935,71
C000344;M000138;19/12/2023;5878,47
C000160;M000128;16/12/2024;4438,8
C001533;M000424;01/10/2023;6141,57
C001413;M000129;16/11/2023;9250,01
C000233;M000299;29/12/2023;6578,35
C000523;M000480;16/10/2024;966,09
C000256;M000072;16/12/2023;3014,87
C001659;M000222;09/10/2024;313,31
C001046;M000284;29/10/2024;1287,9
C000330;M000146;07/10/2023;2697,26
C001341;M000047;08/11/2023;8980,48
C001375;M000243;20/11/2024;6899,31
C000506;M000028;06/12/2024;3803,1
C001766;M000004;22/12/2023;894,9
C001772;M000083;24/12/2024;2835,45
C001026;M000173;14/11/2024;7415,08
C001608;M000159;30/12/2023;1277,77
C001354;M000300;22/10/2024;705,58
C001533;M000216;28/12/2023;4474,99
C001696;M000155;09/12/2023;7071,96
C001243;M000018;27/11/2023;1607,45
C001282;M000224;25/11/2023;4169,56
C001356;M000388;24/12/2023;2001,14
C000607;M000201;15/10/2023;3246,44
C001911;M000004;24/11/2023;1941,28
C001787;M000318;07/12/2023;9089,6
C000987;M000282;01/10/2023;450,31
C000506;M000248;01/10/2024;9902,9
C001420;M000192;12/10/2023;1590,53
C000322;M000254;09/12/2023;391,2
C001732;M000051;17/12/2024;6767,28
C000811;M000428;08/11/2024;3550,85
C000845;M000344;30/10/2024;3456,29
C000223;M000235;30/10/2024;2982,66
C000759;M000299;27/11/2024;5945,06
C001222;M000383;27/12/2023;4664,88
C001785;M000392;03/12/2024;7832,85
C001409;M000338;28/11/2023;929,29
C001246;M000261;04/11/2024;7366,06
C001414;M000222;15/10/2023;2143,31
C000523;M000022;24/11/2024;6654,59
C001490;M000251;18/10/2024;8534,47
C001348;M000240;03/11/2023;982,49
C000752;M000150;11/12/2024;7803,9
C000556;M000246;15/11/2024;6385,33
C000056;M000202;09/11/2023;6050,25
C001594;M000432;07/10/2023;1025,34
C001964;M000096;08/10/2024;3024,41
C001395;M000242;29/12/2023;6334,39
C001958;M000304;18/10/2023;7873,98
C001288;M000457;26/10/2024;5970,84
C001712;M000224;02/11/2023;6278,13
C000894;M000245;08/12/2023;7954,61
C001668;M000333;12/12/2024;8028,65
C001645;M000002;08/11/2023;6313,8
C001882;M000041;05/11/2023;6637,0
C000603;M000058;29/12/2023;1174,84
C000370;M000072;23/11/2023;6104,05
C001721;M000372;20/12/2024;6394,58
C000156;M000485;19/11/2024;7020,81
C001595;M000077;23/10/2023;1937,34
C001699;M000186;17/12/2024;4685,54
C001917;M000461;20/12/2024;5938,8
C000321;M000315;02/10/2023;4191,64
C001365;M000293;13/11/2023;7710,17
C000793;M000250;05/11/2024;2410,9
C001565;M000019;29/10/2024;3031,35
C000322;M000087;17/10/2024;2043,96
C001486;M000219;13/10/2024;3116,9
C000444;M000157;12/11/2024;3555,68
C000532;M000305;21/12/2024;2741,9
C000705;M000333;19/10/2023;5004,61
C000248;M000270;04/11/2023;2830,81
