cliente;prodotto;giorno;quantity
C001529;M000072;22/05/2024;3032,69
C000715;M000451;12/06/2023;6633,63
C000046;M000488;31/05/2023;7945,44
C000223;M000490;17/04/2024;1976,16
C001405;M000282;24/04/2024;6531,36
C000233;M000108;13/04/2024;2259,75
C001344;M000170;16/05/2024;7836,9
C000418;M000368;03/05/2023;5475,98
C001786;M000322;27/06/2024;2097,19
C001574;M000305;16/05/2024;6286,29
C001140;M000114;04/04/2024;4518,36
C001965;M000182;24/06/2023;5748,32
C001096;M000463;09/04/2023;4065,24
C001060;M000155;03/04/2023;9275,19
C000528;M000267;17/06/2024;2863,55
C001736;M000303;06/04/2024;5987,96
C001929;M000151;26/05/2024;1649,38
C000923;M000316;28/06/2023;1831,41
C000199;M000011;15/04/2023;9725,62
C000068;M000042;30/05/2023;5503,57
C000258;M000249;28/06/2023;3253,57
C000867;M000125;04/06/2024;3360,9
C001740;M000035;15/06/2023;8560,35
C000458;M000389;20/04/2023;5944,82
C001194;M000023;09/06/2023;2515,67
C000958;M000173;21/06/2024;7985,57
C001933;M000250;08/05/2024;4975,54
C000542;M000159;05/05/2024;6683,26
C000880;M000034;12/06/2024;7345,6
C000261;M000409;22/04/2023;6365,14
C000987;M000431;18/05/2024;8848,57
C000572;M000224;05/04/2024;5568,36
C000116;M000136;08/05/2023;6891,45
C000412;M000459;29/04/2023;4837,61
C001675;M000255;16/05/2024;6633,96
C001349;M000202;12/04/2024;8416,42
C001877;M000497;16/06/2024;8981,72
C000721;M000174;28/05/2023;7613,5
C001996;M000264;01/06/2023;4216,58
C001110;M000320;18/06/2024;9201,61
C001847;M000279;26/05/2023;3898,46
C001510;M000016;08/05/2023;5644,77
C001206;M000079;18/04/2023;413,09
C001897;M000262;18/06/2024;6910,1
C000663;M000461;26/06/2024;5770,5
C000621;M000184;23/06/2024;760,3
C000412;M000050;18/06/2023;2526,86
C001951;M000171;19/05/2024;3870,0
C001053;M000481;09/05/2024;6551,61
C000006;M000360;19/05/2023;504,77
C000038;M000390;23/06/2024;9686,17
C001215;M000277;18/06/2023;4774,76
C000455;M000497;11/04/2023;7991,09
C001040;M000476;12/05/2024;5620,76
C001188;M000112;11/04/2024;5759,61
C000967;M000023;16/06/2023;4063,68
C000854;M000365;28/05/2024;1323,19
C001725;M000014;01/06/2024;4994,5
C001109;M000368;11/06/2024;5858,19
C001644;M000132;30/06/2023;1198,61
